time,name,value,category
1585704915523,Lord Victor Nefarius,0,Boss
1585705399808,Lord Victor Nefarius,0,Boss
1585705884093,Lord Victor Nefarius,0,Boss
1585706368378,Lord Victor Nefarius,0,Boss
1585706852663,Lord Victor Nefarius,0,Boss
1585707336948,Lord Victor Nefarius,0,Boss
1585707821233,Lord Victor Nefarius,0,Boss
1585708305518,Lord Victor Nefarius,0,Boss
1585708789803,Lord Victor Nefarius,0,Boss
1585709274088,Lord Victor Nefarius,0,Boss
1585709758373,Lord Victor Nefarius,0,Boss
1585710242658,Lord Victor Nefarius,0,Boss
1585710726943,Lord Victor Nefarius,0,Boss
1585704915523,Salomon,0,Paladin
1585705399808,Salomon,0,Paladin
1585705884093,Salomon,0,Paladin
1585706368378,Salomon,0,Paladin
1585706852663,Salomon,0,Paladin
1585707336948,Salomon,0,Paladin
1585707821233,Salomon,71,Paladin
1585708305518,Salomon,248,Paladin
1585708789803,Salomon,432,Paladin
1585709274088,Salomon,2822,Paladin
1585709758373,Salomon,2822,Paladin
1585710242658,Salomon,4830,Paladin
1585710726943,Salomon,4830,Paladin
1585704915523,Rollnasty,20063,Warrior
1585705399808,Rollnasty,29675,Warrior
1585705884093,Rollnasty,62961,Warrior
1585706368378,Rollnasty,77041,Warrior
1585706852663,Rollnasty,95859,Warrior
1585707336948,Rollnasty,113740,Warrior
1585707821233,Rollnasty,121822,Warrior
1585708305518,Rollnasty,150236,Warrior
1585708789803,Rollnasty,163341,Warrior
1585709274088,Rollnasty,190497,Warrior
1585709758373,Rollnasty,222809,Warrior
1585710242658,Rollnasty,259052,Warrior
1585710726943,Rollnasty,259052,Warrior
1585704915523,Pastacarbs,43965,Warlock
1585705399808,Pastacarbs,82944,Warlock
1585705884093,Pastacarbs,147004,Warlock
1585706368378,Pastacarbs,224067,Warlock
1585706852663,Pastacarbs,271669,Warlock
1585707336948,Pastacarbs,300227,Warlock
1585707821233,Pastacarbs,360958,Warlock
1585708305518,Pastacarbs,395767,Warlock
1585708789803,Pastacarbs,446406,Warlock
1585709274088,Pastacarbs,550109,Warlock
1585709758373,Pastacarbs,576377,Warlock
1585710242658,Pastacarbs,687374,Warlock
1585710726943,Pastacarbs,687374,Warlock
1585704915523,Bigchestbrwn,0,Paladin
1585705399808,Bigchestbrwn,0,Paladin
1585705884093,Bigchestbrwn,0,Paladin
1585706368378,Bigchestbrwn,0,Paladin
1585706852663,Bigchestbrwn,0,Paladin
1585707336948,Bigchestbrwn,0,Paladin
1585707821233,Bigchestbrwn,0,Paladin
1585708305518,Bigchestbrwn,0,Paladin
1585708789803,Bigchestbrwn,0,Paladin
1585709274088,Bigchestbrwn,0,Paladin
1585709758373,Bigchestbrwn,0,Paladin
1585710242658,Bigchestbrwn,0,Paladin
1585710726943,Bigchestbrwn,0,Paladin
1585704915523,Artemira,70378,Mage
1585705399808,Artemira,119365,Mage
1585705884093,Artemira,175523,Mage
1585706368378,Artemira,339462,Mage
1585706852663,Artemira,451314,Mage
1585707336948,Artemira,577692,Mage
1585707821233,Artemira,657921,Mage
1585708305518,Artemira,794588,Mage
1585708789803,Artemira,868947,Mage
1585709274088,Artemira,1000548,Mage
1585709758373,Artemira,1023421,Mage
1585710242658,Artemira,1205911,Mage
1585710726943,Artemira,1205911,Mage
1585704915523,Razorgore the Untamed,0,Boss
1585705399808,Razorgore the Untamed,0,Boss
1585705884093,Razorgore the Untamed,0,Boss
1585706368378,Razorgore the Untamed,0,Boss
1585706852663,Razorgore the Untamed,0,Boss
1585707336948,Razorgore the Untamed,0,Boss
1585707821233,Razorgore the Untamed,0,Boss
1585708305518,Razorgore the Untamed,0,Boss
1585708789803,Razorgore the Untamed,0,Boss
1585709274088,Razorgore the Untamed,0,Boss
1585709758373,Razorgore the Untamed,0,Boss
1585710242658,Razorgore the Untamed,0,Boss
1585710726943,Razorgore the Untamed,0,Boss
1585704915523,Shiizzane,105181,Warrior
1585705399808,Shiizzane,161958,Warrior
1585705884093,Shiizzane,273911,Warrior
1585706368378,Shiizzane,373924,Warrior
1585706852663,Shiizzane,455687,Warrior
1585707336948,Shiizzane,463911,Warrior
1585707821233,Shiizzane,520282,Warrior
1585708305518,Shiizzane,561177,Warrior
1585708789803,Shiizzane,604021,Warrior
1585709274088,Shiizzane,734308,Warrior
1585709758373,Shiizzane,837600,Warrior
1585710242658,Shiizzane,952331,Warrior
1585710726943,Shiizzane,952331,Warrior
1585704915523,Shecter,0,Priest
1585705399808,Shecter,0,Priest
1585705884093,Shecter,0,Priest
1585706368378,Shecter,324,Priest
1585706852663,Shecter,324,Priest
1585707336948,Shecter,324,Priest
1585707821233,Shecter,324,Priest
1585708305518,Shecter,324,Priest
1585708789803,Shecter,324,Priest
1585709274088,Shecter,4978,Priest
1585709758373,Shecter,4978,Priest
1585710242658,Shecter,19348,Priest
1585710726943,Shecter,19348,Priest
1585704915523,Wrekej,72075,Rogue
1585705399808,Wrekej,125738,Rogue
1585705884093,Wrekej,200819,Rogue
1585706368378,Wrekej,292696,Rogue
1585706852663,Wrekej,373673,Rogue
1585707336948,Wrekej,407178,Rogue
1585707821233,Wrekej,453466,Rogue
1585708305518,Wrekej,498370,Rogue
1585708789803,Wrekej,544388,Rogue
1585709274088,Wrekej,651009,Rogue
1585709758373,Wrekej,733300,Rogue
1585710242658,Wrekej,844922,Rogue
1585710726943,Wrekej,844922,Rogue
1585704915523,Skrakatoa,79617,Warlock
1585705399808,Skrakatoa,136723,Warlock
1585705884093,Skrakatoa,205452,Warlock
1585706368378,Skrakatoa,245800,Warlock
1585706852663,Skrakatoa,322053,Warlock
1585707336948,Skrakatoa,376418,Warlock
1585707821233,Skrakatoa,415729,Warlock
1585708305518,Skrakatoa,475021,Warlock
1585708789803,Skrakatoa,539819,Warlock
1585709274088,Skrakatoa,637546,Warlock
1585709758373,Skrakatoa,655422,Warlock
1585710242658,Skrakatoa,764559,Warlock
1585710726943,Skrakatoa,764559,Warlock
1585704915523,Rammsay,0,Priest
1585705399808,Rammsay,1468,Priest
1585705884093,Rammsay,1468,Priest
1585706368378,Rammsay,9697,Priest
1585706852663,Rammsay,10513,Priest
1585707336948,Rammsay,10513,Priest
1585707821233,Rammsay,10513,Priest
1585708305518,Rammsay,10513,Priest
1585708789803,Rammsay,10513,Priest
1585709274088,Rammsay,14086,Priest
1585709758373,Rammsay,14086,Priest
1585710242658,Rammsay,14086,Priest
1585710726943,Rammsay,14086,Priest
1585704915523,Bloodgouge,102584,Rogue
1585705399808,Bloodgouge,167758,Rogue
1585705884093,Bloodgouge,284663,Rogue
1585706368378,Bloodgouge,354018,Rogue
1585706852663,Bloodgouge,439345,Rogue
1585707336948,Bloodgouge,475687,Rogue
1585707821233,Bloodgouge,551212,Rogue
1585708305518,Bloodgouge,580661,Rogue
1585708789803,Bloodgouge,608424,Rogue
1585709274088,Bloodgouge,763381,Rogue
1585709758373,Bloodgouge,879053,Rogue
1585710242658,Bloodgouge,1053862,Rogue
1585710726943,Bloodgouge,1053862,Rogue
1585704915523,Loots,87818,Warrior
1585705399808,Loots,137180,Warrior
1585705884093,Loots,244116,Warrior
1585706368378,Loots,344964,Warrior
1585706852663,Loots,425645,Warrior
1585707336948,Loots,482120,Warrior
1585707821233,Loots,530870,Warrior
1585708305518,Loots,619047,Warrior
1585708789803,Loots,681782,Warrior
1585709274088,Loots,810341,Warrior
1585709758373,Loots,914679,Warrior
1585710242658,Loots,1069878,Warrior
1585710726943,Loots,1069878,Warrior
1585704915523,Pujo,0,Paladin
1585705399808,Pujo,0,Paladin
1585705884093,Pujo,0,Paladin
1585706368378,Pujo,0,Paladin
1585706852663,Pujo,0,Paladin
1585707336948,Pujo,0,Paladin
1585707821233,Pujo,0,Paladin
1585708305518,Pujo,177,Paladin
1585708789803,Pujo,177,Paladin
1585709274088,Pujo,2699,Paladin
1585709758373,Pujo,5303,Paladin
1585710242658,Pujo,7076,Paladin
1585710726943,Pujo,7076,Paladin
1585704915523,Kamehouse,98824,Warrior
1585705399808,Kamehouse,135386,Warrior
1585705884093,Kamehouse,229825,Warrior
1585706368378,Kamehouse,348215,Warrior
1585706852663,Kamehouse,437827,Warrior
1585707336948,Kamehouse,486095,Warrior
1585707821233,Kamehouse,536554,Warrior
1585708305518,Kamehouse,621383,Warrior
1585708789803,Kamehouse,684331,Warrior
1585709274088,Kamehouse,832202,Warrior
1585709758373,Kamehouse,927012,Warrior
1585710242658,Kamehouse,1031796,Warrior
1585710726943,Kamehouse,1031796,Warrior
1585704915523,Janalis,27634,Druid
1585705399808,Janalis,40702,Druid
1585705884093,Janalis,74503,Druid
1585706368378,Janalis,102424,Druid
1585706852663,Janalis,128177,Druid
1585707336948,Janalis,147281,Druid
1585707821233,Janalis,174198,Druid
1585708305518,Janalis,210437,Druid
1585708789803,Janalis,225519,Druid
1585709274088,Janalis,264815,Druid
1585709758373,Janalis,298183,Druid
1585710242658,Janalis,357773,Druid
1585710726943,Janalis,357773,Druid
1585704915523,Binyamin,0,Paladin
1585705399808,Binyamin,0,Paladin
1585705884093,Binyamin,0,Paladin
1585706368378,Binyamin,918,Paladin
1585706852663,Binyamin,2355,Paladin
1585707336948,Binyamin,3135,Paladin
1585707821233,Binyamin,3135,Paladin
1585708305518,Binyamin,3135,Paladin
1585708789803,Binyamin,3135,Paladin
1585709274088,Binyamin,7055,Paladin
1585709758373,Binyamin,7193,Paladin
1585710242658,Binyamin,7193,Paladin
1585710726943,Binyamin,7193,Paladin
1585704915523,Dumpty,73884,Rogue
1585705399808,Dumpty,127666,Rogue
1585705884093,Dumpty,202566,Rogue
1585706368378,Dumpty,299425,Rogue
1585706852663,Dumpty,384006,Rogue
1585707336948,Dumpty,432139,Rogue
1585707821233,Dumpty,471555,Rogue
1585708305518,Dumpty,531241,Rogue
1585708789803,Dumpty,577287,Rogue
1585709274088,Dumpty,682288,Rogue
1585709758373,Dumpty,755717,Rogue
1585710242658,Dumpty,885932,Rogue
1585710726943,Dumpty,885932,Rogue
1585704915523,Arkpriest,31348,Priest
1585705399808,Arkpriest,51283,Priest
1585705884093,Arkpriest,74738,Priest
1585706368378,Arkpriest,115188,Priest
1585706852663,Arkpriest,154982,Priest
1585707336948,Arkpriest,176802,Priest
1585707821233,Arkpriest,202239,Priest
1585708305518,Arkpriest,222442,Priest
1585708789803,Arkpriest,250862,Priest
1585709274088,Arkpriest,313462,Priest
1585709758373,Arkpriest,319838,Priest
1585710242658,Arkpriest,377318,Priest
1585710726943,Arkpriest,377318,Priest
1585704915523,Ubbe,79332,Warrior
1585705399808,Ubbe,152503,Warrior
1585705884093,Ubbe,251954,Warrior
1585706368378,Ubbe,356645,Warrior
1585706852663,Ubbe,439256,Warrior
1585707336948,Ubbe,478633,Warrior
1585707821233,Ubbe,529253,Warrior
1585708305518,Ubbe,603430,Warrior
1585708789803,Ubbe,662115,Warrior
1585709274088,Ubbe,776260,Warrior
1585709758373,Ubbe,835708,Warrior
1585710242658,Ubbe,984511,Warrior
1585710726943,Ubbe,984511,Warrior
1585704915523,Wicka,53897,Hunter
1585705399808,Wicka,82359,Hunter
1585705884093,Wicka,138252,Hunter
1585706368378,Wicka,182473,Hunter
1585706852663,Wicka,251749,Hunter
1585707336948,Wicka,304662,Hunter
1585707821233,Wicka,347406,Hunter
1585708305518,Wicka,421092,Hunter
1585708789803,Wicka,479045,Hunter
1585709274088,Wicka,583448,Hunter
1585709758373,Wicka,629592,Hunter
1585710242658,Wicka,732589,Hunter
1585710726943,Wicka,732589,Hunter
1585704915523,Reapermage,56721,Mage
1585705399808,Reapermage,74079,Mage
1585705884093,Reapermage,118630,Mage
1585706368378,Reapermage,239238,Mage
1585706852663,Reapermage,331129,Mage
1585707336948,Reapermage,457131,Mage
1585707821233,Reapermage,525749,Mage
1585708305518,Reapermage,653747,Mage
1585708789803,Reapermage,717688,Mage
1585709274088,Reapermage,848378,Mage
1585709758373,Reapermage,941129,Mage
1585710242658,Reapermage,1066055,Mage
1585710726943,Reapermage,1066055,Mage
1585704915523,Windtlkr,0,Druid
1585705399808,Windtlkr,0,Druid
1585705884093,Windtlkr,19,Druid
1585706368378,Windtlkr,17670,Druid
1585706852663,Windtlkr,17767,Druid
1585707336948,Windtlkr,30890,Druid
1585707821233,Windtlkr,30890,Druid
1585708305518,Windtlkr,34440,Druid
1585708789803,Windtlkr,36606,Druid
1585709274088,Windtlkr,38978,Druid
1585709758373,Windtlkr,39679,Druid
1585710242658,Windtlkr,39732,Druid
1585710726943,Windtlkr,39732,Druid
1585704915523,Yurgrim,455,Paladin
1585705399808,Yurgrim,1345,Paladin
1585705884093,Yurgrim,1345,Paladin
1585706368378,Yurgrim,1345,Paladin
1585706852663,Yurgrim,1441,Paladin
1585707336948,Yurgrim,1666,Paladin
1585707821233,Yurgrim,1666,Paladin
1585708305518,Yurgrim,1666,Paladin
1585708789803,Yurgrim,1666,Paladin
1585709274088,Yurgrim,1666,Paladin
1585709758373,Yurgrim,1666,Paladin
1585710242658,Yurgrim,1666,Paladin
1585710726943,Yurgrim,1666,Paladin
1585704915523,Swistak,0,Paladin
1585705399808,Swistak,0,Paladin
1585705884093,Swistak,0,Paladin
1585706368378,Swistak,0,Paladin
1585706852663,Swistak,0,Paladin
1585707336948,Swistak,0,Paladin
1585707821233,Swistak,0,Paladin
1585708305518,Swistak,0,Paladin
1585708789803,Swistak,0,Paladin
1585709274088,Swistak,909,Paladin
1585709758373,Swistak,909,Paladin
1585710242658,Swistak,1790,Paladin
1585710726943,Swistak,1790,Paladin
1585704915523,Krasher,31425,Warrior
1585705399808,Krasher,41774,Warrior
1585705884093,Krasher,115999,Warrior
1585706368378,Krasher,176480,Warrior
1585706852663,Krasher,220876,Warrior
1585707336948,Krasher,266944,Warrior
1585707821233,Krasher,301715,Warrior
1585708305518,Krasher,366584,Warrior
1585708789803,Krasher,414289,Warrior
1585709274088,Krasher,525107,Warrior
1585709758373,Krasher,561065,Warrior
1585710242658,Krasher,667880,Warrior
1585710726943,Krasher,667880,Warrior
1585704915523,Rapwnzel,0,Priest
1585705399808,Rapwnzel,0,Priest
1585705884093,Rapwnzel,0,Priest
1585706368378,Rapwnzel,0,Priest
1585706852663,Rapwnzel,0,Priest
1585707336948,Rapwnzel,0,Priest
1585707821233,Rapwnzel,0,Priest
1585708305518,Rapwnzel,0,Priest
1585708789803,Rapwnzel,0,Priest
1585709274088,Rapwnzel,1694,Priest
1585709758373,Rapwnzel,1694,Priest
1585710242658,Rapwnzel,1694,Priest
1585710726943,Rapwnzel,1694,Priest
1585704915523,Pocketdots,34103,Warlock
1585705399808,Pocketdots,69153,Warlock
1585705884093,Pocketdots,120922,Warlock
1585706368378,Pocketdots,182233,Warlock
1585706852663,Pocketdots,237343,Warlock
1585707336948,Pocketdots,281361,Warlock
1585707821233,Pocketdots,300716,Warlock
1585708305518,Pocketdots,338717,Warlock
1585708789803,Pocketdots,393312,Warlock
1585709274088,Pocketdots,450116,Warlock
1585709758373,Pocketdots,459478,Warlock
1585710242658,Pocketdots,535150,Warlock
1585710726943,Pocketdots,535150,Warlock
1585704915523,Philmcrackin,36473,Hunter
1585705399808,Philmcrackin,55344,Hunter
1585705884093,Philmcrackin,100168,Hunter
1585706368378,Philmcrackin,174350,Hunter
1585706852663,Philmcrackin,208239,Hunter
1585707336948,Philmcrackin,243847,Hunter
1585707821233,Philmcrackin,290025,Hunter
1585708305518,Philmcrackin,365142,Hunter
1585708789803,Philmcrackin,410256,Hunter
1585709274088,Philmcrackin,505775,Hunter
1585709758373,Philmcrackin,563127,Hunter
1585710242658,Philmcrackin,638615,Hunter
1585710726943,Philmcrackin,638615,Hunter
1585704915523,Aluria,61505,Hunter
1585705399808,Aluria,123635,Hunter
1585705884093,Aluria,147120,Hunter
1585706368378,Aluria,224699,Hunter
1585706852663,Aluria,298439,Hunter
1585707336948,Aluria,331184,Hunter
1585707821233,Aluria,386092,Hunter
1585708305518,Aluria,467129,Hunter
1585708789803,Aluria,522483,Hunter
1585709274088,Aluria,642799,Hunter
1585709758373,Aluria,707280,Hunter
1585710242658,Aluria,796974,Hunter
1585710726943,Aluria,796974,Hunter
1585704915523,Vestia,21842,Warrior
1585705399808,Vestia,37412,Warrior
1585705884093,Vestia,72534,Warrior
1585706368378,Vestia,106595,Warrior
1585706852663,Vestia,134491,Warrior
1585707336948,Vestia,148078,Warrior
1585707821233,Vestia,169968,Warrior
1585708305518,Vestia,195518,Warrior
1585708789803,Vestia,201597,Warrior
1585709274088,Vestia,241595,Warrior
1585709758373,Vestia,277477,Warrior
1585710242658,Vestia,323036,Warrior
1585710726943,Vestia,323036,Warrior
1585704915523,Vin,12,Priest
1585705399808,Vin,274,Priest
1585705884093,Vin,1485,Priest
1585706368378,Vin,1485,Priest
1585706852663,Vin,1496,Priest
1585707336948,Vin,1496,Priest
1585707821233,Vin,1496,Priest
1585708305518,Vin,1496,Priest
1585708789803,Vin,1496,Priest
1585709274088,Vin,3832,Priest
1585709758373,Vin,3832,Priest
1585710242658,Vin,28095,Priest
1585710726943,Vin,28095,Priest
1585704915523,Msmothalover,0,Warrior
1585705399808,Msmothalover,33116,Warrior
1585705884093,Msmothalover,92543,Warrior
1585706368378,Msmothalover,177966,Warrior
1585706852663,Msmothalover,209440,Warrior
1585707336948,Msmothalover,230276,Warrior
1585707821233,Msmothalover,270662,Warrior
1585708305518,Msmothalover,311169,Warrior
1585708789803,Msmothalover,337044,Warrior
1585709274088,Msmothalover,400774,Warrior
1585709758373,Msmothalover,468612,Warrior
1585710242658,Msmothalover,543669,Warrior
1585710726943,Msmothalover,543669,Warrior
1585704915523,Lolì,54507,Mage
1585705399808,Lolì,68517,Mage
1585705884093,Lolì,116878,Mage
1585706368378,Lolì,238111,Mage
1585706852663,Lolì,350968,Mage
1585707336948,Lolì,493752,Mage
1585707821233,Lolì,559599,Mage
1585708305518,Lolì,678046,Mage
1585708789803,Lolì,746750,Mage
1585709274088,Lolì,893704,Mage
1585709758373,Lolì,980608,Mage
1585710242658,Lolì,1153668,Mage
1585710726943,Lolì,1153668,Mage
1585704915523,Arathorne,48993,Mage
1585705399808,Arathorne,99318,Mage
1585705884093,Arathorne,142098,Mage
1585706368378,Arathorne,253173,Mage
1585706852663,Arathorne,317518,Mage
1585707336948,Arathorne,361333,Mage
1585707821233,Arathorne,410635,Mage
1585708305518,Arathorne,484388,Mage
1585708789803,Arathorne,544980,Mage
1585709274088,Arathorne,663902,Mage
1585709758373,Arathorne,703332,Mage
1585710242658,Arathorne,775420,Mage
1585710726943,Arathorne,775420,Mage
1585704915523,Instances,91626,Rogue
1585705399808,Instances,153319,Rogue
1585705884093,Instances,262954,Rogue
1585706368378,Instances,372039,Rogue
1585706852663,Instances,463427,Rogue
1585707336948,Instances,518175,Rogue
1585707821233,Instances,606467,Rogue
1585708305518,Instances,721585,Rogue
1585708789803,Instances,798243,Rogue
1585709274088,Instances,948006,Rogue
1585709758373,Instances,1046689,Rogue
1585710242658,Instances,1191055,Rogue
1585710726943,Instances,1191055,Rogue
1585704915523,Icefury,81461,Mage
1585705399808,Icefury,155318,Mage
1585705884093,Icefury,262058,Mage
1585706368378,Icefury,432853,Mage
1585706852663,Icefury,580492,Mage
1585707336948,Icefury,703021,Mage
1585707821233,Icefury,800425,Mage
1585708305518,Icefury,952324,Mage
1585708789803,Icefury,1066483,Mage
1585709274088,Icefury,1216896,Mage
1585709758373,Icefury,1302832,Mage
1585710242658,Icefury,1425747,Mage
1585710726943,Icefury,1425747,Mage
1585704915523,Hooks,94867,Rogue
1585705399808,Hooks,141335,Rogue
1585705884093,Hooks,249906,Rogue
1585706368378,Hooks,397335,Rogue
1585706852663,Hooks,456656,Rogue
1585707336948,Hooks,484556,Rogue
1585707821233,Hooks,554123,Rogue
1585708305518,Hooks,629654,Rogue
1585708789803,Hooks,672620,Rogue
1585709274088,Hooks,795787,Rogue
1585709758373,Hooks,883218,Rogue
1585710242658,Hooks,1028938,Rogue
1585710726943,Hooks,1028938,Rogue
1585704915523,Schwizzle,62222,Rogue
1585705399808,Schwizzle,84133,Rogue
1585705884093,Schwizzle,146030,Rogue
1585706368378,Schwizzle,221881,Rogue
1585706852663,Schwizzle,271834,Rogue
1585707336948,Schwizzle,300557,Rogue
1585707821233,Schwizzle,329505,Rogue
1585708305518,Schwizzle,391901,Rogue
1585708789803,Schwizzle,433311,Rogue
1585709274088,Schwizzle,532645,Rogue
1585709758373,Schwizzle,614533,Rogue
1585710242658,Schwizzle,716428,Rogue
1585710726943,Schwizzle,716428,Rogue
1585704915523,Passthevape,81757,Rogue
1585705399808,Passthevape,148480,Rogue
1585705884093,Passthevape,284255,Rogue
1585706368378,Passthevape,332550,Rogue
1585706852663,Passthevape,365612,Rogue
1585707336948,Passthevape,386388,Rogue
1585707821233,Passthevape,458398,Rogue
1585708305518,Passthevape,514074,Rogue
1585708789803,Passthevape,571015,Rogue
1585709274088,Passthevape,700499,Rogue
1585709758373,Passthevape,803266,Rogue
1585710242658,Passthevape,939780,Rogue
1585710726943,Passthevape,939780,Rogue
1585704915523,Ulicia,39503,Warrior
1585705399808,Ulicia,57420,Warrior
1585705884093,Ulicia,123277,Warrior
1585706368378,Ulicia,210511,Warrior
1585706852663,Ulicia,277431,Warrior
1585707336948,Ulicia,335123,Warrior
1585707821233,Ulicia,395336,Warrior
1585708305518,Ulicia,475741,Warrior
1585708789803,Ulicia,514391,Warrior
1585709274088,Ulicia,607125,Warrior
1585709758373,Ulicia,667543,Warrior
1585710242658,Ulicia,774230,Warrior
1585710726943,Ulicia,774230,Warrior
